Fakultas,Jurusan,Kelas,Asal kampus,Apa minat kamu?
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Minat saya dalam bidang IT yaitu, UX. Menekankan pada kepuasan pengguna dalam menggunakan produk."
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Saya tertarik dalam bidang software developer dan system analist.
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Web Development
Backend Programming"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,UI/UX dan Fullstack
Fakultas Ilmu Komputer dan Teknologi Informasi,Teknik  Informatika,2IA##,Universitas Gunadarma,Programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,System manager 
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,"Backend programming, DevOps engineer, "
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,backend programming
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Chief information manager, UI/UX manager atau java programmer"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Backend programming 
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"UI/UX, web, dbms dan networking"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Data Science, Data Manager, Data Administrator"
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,Saya ingin belajar di progamming web 
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Data Analyst
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Saya tertarik dalam bidang UI,UX dan Web Developing"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Artificial Intelligence 
Di bidang ini saya ingin melatih pemikiran kreativ saya Dan juga hal hal Yang berkaitan dengan teknologi Dan matematika. Dan Di bidang ini saya tertarik untuk membuat suatu produk Teknologi modern Yang nantinya berguna untuk masyarakat . "
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Web programming, UI/UX, dan AI"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Saya memiliki minat untuk menjadi fullstack developer dan juga menjadi game developer.
Fakultas Teknologi Industri,Teknik  Informatika,-,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,4ka##,Universitas Gunadarma,Full stack developer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,-,Universitas Gunadarma,"Untuk saat ini minat saya adalah mobile developer (Flutter), wordpress developer, dan artificial intelligence"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Backend programming
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,"Untuk sekarang saya masih mempelajari apa yang akan menjadi minat saya, tapi saya sangat tertarik dengan UI/UX designers."
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,smua tentang programming
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Front End Developer.
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Untuk saat ini, saya sedang menaruh minat banyak di front end programming. saya cukup tertarik dengan desain web tetapi ingin juga berperan dalam pembangunan web yang bertanggung jawab langsung dengan pengguna. "
Fakultas Teknik dan Informatika,Sistem Informasi,-,Universitas Nusa Mandiri,"Machine learning, backend, web, mobile."
Fakultas Teknologi Industri,Teknik  Informatika,4IA##,Universitas Gunadarma,saya ingin mendalami tentang networking dan security
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"UI/UX , iOS Developer,  Animasi , 2D/3D Design seperti Vector dan modelling"
Fakultas Ilmu Komunikasi,other,2MA##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Programming
Fakultas Teknologi Industri,Teknik  Informatika,2ia##,Universitas Gunadarma,Karena aku belum tau jadi aku pilih Ui/ux dan programming
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Web developer
Fakultas Teknik,Teknik  Informatika,-,Universitas Muhammadiyah Prof. Dr.Hamka,
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,-
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Memperfalam ilmu it & jago program jaringan dan lain lain
Fakultas Ilmu Komputer dan Teknologi Informasi,Psikologi,-,other,Programming
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Full stack CEH CISCO
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Di dunia IT saya belum terlalu paham jadi saya akan memulai dari awal oleh karena itu, saya belum tau minat saya di bidang IT"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"saya berminat terhadap bidang UI/UX, web developer, android developer, dan game developer"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3ka##,Universitas Gunadarma,ingin menjadi web developer
